spotify_id,tempo,time_signature,key,mode,loudness,energy,danceability,acousticness,instrumentalness,liveness,speechiness,valence
291RmMazWAmDitFuD6NJCv,109.884,4,F,0,-13.159,0.366,0.926,0.0483,0.136,0.119,0.122,0.784
57JVGBtBLCfHw2muk5416J,109.975,4,F,0,-6.472,0.528,0.933,0.112,0.329,0.163,0.162,0.756
5QKN4oxf5BB94Tsu1TO79X,84.662,4,A,0,-6.104,0.62,0.748,0.301,0,0.0717,0.285,0.766
3moMtpCsPJvXirsyRwsD6u,84.487,4,A,0,-7.22,0.578,0.778,0.432,0,0.138,0.274,0.758
56H98l4uinRifnTH8e308N,115.062,4,C♯/D♭,1,-7.02,0.899,0.795,0.0766,0,0.0852,0.292,0.694
4hxw7Js3F9BY6oxaG4Obxb,115.044,4,C♯/D♭,1,-7.028,0.898,0.795,0.0707,0,0.0847,0.301,0.672
3ckd4YA4LcD3j50rfIVwUe,115.386,4,A,1,-11.255,0.792,0.663,0.00787,0.00183,0.582,0.0456,0.443
6j0Q06QmlWdd8xlS8NrOhl,115.408,4,A,1,-4.012,0.912,0.649,0.00348,0.000343,0.495,0.0618,0.402
3dN0re4Ux685ZzJdBjM4Wq,82.299,4,F,0,-7.428,0.648,0.809,0.369,8.8e-06,0.229,0.106,0.755
2qOm7ukLyHUXWyR4ZWLwxA,82.356,4,G,0,-5.328,0.744,0.798,0.33,0.000106,0.292,0.136,0.794
124Y9LPRCAz3q2OP0iCvcJ,133.731,4,C,1,-6.92,0.799,0.654,0.0706,0,0.0844,0.0501,0.755
5jzma6gCzYtKB1DbEwFZKH,133.763,4,C,1,-7.34,0.801,0.651,0.123,0,0.0825,0.0513,0.776
7GFkI7nUBlLLEhhF9Uvxc9,138.221,4,F♯/G♭,0,-5.833,0.911,0.238,2.13e-05,0.877,0.0935,0.0708,0.247
4Jcg7RJGHyCOjvALY6NAkx,137.989,4,F♯/G♭,0,-5.696,0.902,0.239,2.73e-05,0.837,0.083,0.071,0.22
7s25THrKz86DM225dOYwnr,114.95,4,C,1,-5.226,0.558,0.805,0.164,2.2e-05,0.0546,0.041,0.965
5AoTuHE5P5bvC7BBppYnja,114.991,4,C,1,-6.386,0.612,0.744,0.0723,0.000532,0.0692,0.0333,0.961
1TfqLAPs4K3s2rJMoCokcS,125.135,4,C,0,-7.498,0.711,0.692,0.227,0,0.12,0.0317,0.875
4SbnWCo2NGapRoStOcvb5A,125.189,4,C,0,-14.288,0.5,0.714,0.164,0,0.0866,0.0365,0.866
6Bm6qUCSatPAqkQllFL7oA,80.718,4,F♯/G♭,0,-5.263,0.788,0.256,0.0298,0,0.707,0.0403,0.429
0PXWpNBYg52gABrn1qL1bD,80.985,4,A,1,-5.152,0.793,0.442,0.0456,0,0.328,0.0347,0.437
