spotify_id,artist_id,song_title,artist,remaster,genres
6j0Q06QmlWdd8xlS8NrOhl,0X380XXQSNBYuleKzav5UO,Head Like A Hole,Nine Inch Nails,Y,"['alternative metal', 'alternative rock', 'cyberpunk', 'electronic rock', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']"
3ckd4YA4LcD3j50rfIVwUe,0X380XXQSNBYuleKzav5UO,Head Like A Hole,Nine Inch Nails,N,"['alternative metal', 'alternative rock', 'cyberpunk', 'electronic rock', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']"
5jzma6gCzYtKB1DbEwFZKH,3RGLhK1IP9jnYFH4BRFJBS,London Calling - Remastered,The Clash,Y,"['classic rock', 'dance rock', 'permanent wave', 'punk', 'rock']"
124Y9LPRCAz3q2OP0iCvcJ,3RGLhK1IP9jnYFH4BRFJBS,London Calling,The Clash,N,"['classic rock', 'dance rock', 'permanent wave', 'punk', 'rock']"
4Jcg7RJGHyCOjvALY6NAkx,3WaJSfKnzc65VDgmj2zU8B,PDA,Interpol,Y,"['alternative dance', 'alternative rock', 'dance-punk', 'garage rock', 'indie rock', 'modern rock', 'new rave', 'rock']"
7GFkI7nUBlLLEhhF9Uvxc9,3WaJSfKnzc65VDgmj2zU8B,PDA,Interpol,N,"['alternative dance', 'alternative rock', 'dance-punk', 'garage rock', 'indie rock', 'modern rock', 'new rave', 'rock']"
57JVGBtBLCfHw2muk5416J,1dfeR4HaWDbWqFHLkxsg1d,Another One Bites The Dust - Remastered 2011,Queen,Y,"['glam rock', 'rock']"
291RmMazWAmDitFuD6NJCv,1dfeR4HaWDbWqFHLkxsg1d,Another One Bites The Dust,Queen,N,"['glam rock', 'rock']"
3moMtpCsPJvXirsyRwsD6u,5me0Irg2ANcsgc93uaYrpb,Big Poppa - 2005 Remaster,The Notorious B.I.G.,Y,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
5QKN4oxf5BB94Tsu1TO79X,5me0Irg2ANcsgc93uaYrpb,Big Poppa - 2005 Remaster,The Notorious B.I.G.,N,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
4SbnWCo2NGapRoStOcvb5A,0NKDgy9j66h3DLnN8qu1bB,Sweet Dreams (Are Made of This) [2018 Remastered],Eurythmics,Y,"['dance pop', 'dance rock', 'europop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'synthpop']"
1TfqLAPs4K3s2rJMoCokcS,0NKDgy9j66h3DLnN8qu1bB,Sweet Dreams (Are Made of This) - Remastered,Eurythmics,N,"['dance pop', 'dance rock', 'europop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'synthpop']"
4hxw7Js3F9BY6oxaG4Obxb,03r4iKL2g2442PT9n2UKsx,Ch-Check It Out,Beastie Boys,Y,"['alternative rock', 'east coast hip hop', 'hip hop', 'old school hip hop', 'rap']"
56H98l4uinRifnTH8e308N,03r4iKL2g2442PT9n2UKsx,Ch-Check It Out,Beastie Boys,N,"['alternative rock', 'east coast hip hop', 'hip hop', 'old school hip hop', 'rap']"
0PXWpNBYg52gABrn1qL1bD,3Ngh2zDBRPEriyxQDAMKd1,Unwell - 2007 Remaster,Matchbox Twenty,Y,"['neo mellow', 'pop rock', 'post-grunge']"
6Bm6qUCSatPAqkQllFL7oA,3Ngh2zDBRPEriyxQDAMKd1,Unwell,Matchbox Twenty,N,"['neo mellow', 'pop rock', 'post-grunge']"
2qOm7ukLyHUXWyR4ZWLwxA,3Mcii5XWf6E0lrY3Uky4cA,It Was A Good Day,Ice Cube,Y,"['conscious hip hop', 'g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'west coast rap']"
3dN0re4Ux685ZzJdBjM4Wq,3Mcii5XWf6E0lrY3Uky4cA,It Was A Good Day,Ice Cube,N,"['conscious hip hop', 'g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'west coast rap']"
5AoTuHE5P5bvC7BBppYnja,7nwUJBm0HE4ZxD3f5cy5ok,Respect - 2003 Remaster,Aretha Franklin,Y,"['adult standards', 'classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']"
7s25THrKz86DM225dOYwnr,7nwUJBm0HE4ZxD3f5cy5ok,Respect,Aretha Franklin,N,"['adult standards', 'classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']"
